PolicyNum,Year,Premium,Claim_Counts,Total_Losses,Average_Loss,Ln(Cov)_1,BC_Coverage_1 ,Error_Indicator,Ln(Cov)_2,BC_Coverage_2,Random_0.7_1.3,Fire5_1,Fire5_2,NA_Indicator
120002,2006,9313,0,0,0,3.12300155,22.714456,0,3.12300155,22.714456,1.01,1,1,0
120003,2006,40735,0,0,0,4.598682959,99.353377,0,4.598682959,99.353377,1.23,1,1,0
120004,2006,16823,3,13003.08,4334.36,3.253456327,25.879634,0,3.253456327,25.879634,1.23,1,1,0
120005,2006,19192,0,0,0,3.44879903,31.462584,1,3.605802779,36.81122328,1.17,1,,1
120008,2006,21644,3,48060.82,16020.27333,3.82976103,46.051532,1,3.631310092,37.76225624,0.82,1,1,0
120009,2006,15988,0,0,0,4.198984403,66.618639,0,4.198984403,66.618639,0.89,1,,1
120012,2006,196802,20,55273.39,2763.6695,6.103178101,447.277005,0,6.103178101,447.277005,1.08,1,1,0
120013,2006,63796,3,20169.21,6723.07,4.848827782,127.590738,0,4.848827782,127.590738,1.01,0,,1
120015,2006,43760,10,194133.31,19413.331,4.432654039,84.15447,1,4.117943294,61.4327631,0.73,1,1,0
120017,2006,25733,5,970.9,194.18,4.215380834,67.719951,1,4.184921626,65.68835247,0.97,1,,1
120018,2006,51823,0,0,0,4.621173822,101.613238,0,4.621173822,101.613238,0.89,1,1,0
120021,2006,12923,0,0,0,3.175142973,23.930241,0,3.175142973,23.930241,1.27,0,0,0
120022,2006,14410,6,52282.21,8713.701667,3.098685624,22.168794,0,3.098685624,22.168794,0.78,0,0,0
120023,2006,19602,0,0,0,3.796601222,44.549513,0,3.796601222,44.549513,1.15,1,1,0
120025,2006,27169,3,14327.12,4775.706667,3.829686915,46.048119,0,3.829686915,46.048119,0.97,1,1,0
120026,2006,46950,5,12048.91,2409.782,4.191579888,66.127182,0,4.191579888,66.127182,0.94,0,0,0
120027,2006,13196,0,0,0,3.074274934,21.63419,0,3.074274934,21.63419,1.01,0,,1
120028,2006,77808,2,22015,11007.5,5.130778771,169.148795,1,5.28778252,197.9040902,1.17,1,,1
120030,2006,383297,100,5047367.54,50473.6754,7.558246648,1916.48,0,7.558245449,1916.48,1.28,1,1,0
120032,2006,11366,1,19714.09,19714.09,3.346955288,28.416083,1,3.059273215,21.31206225,0.75,1,1,0
120033,2006,48961,0,0,0,4.782626895,119.417636,0,4.782626895,119.417636,0.76,1,,1
120036,2006,69839,8,58004.7,7250.5875,4.617258171,101.216134,0,4.617258171,101.216134,0.84,1,,1
120038,2006,113744,5,29527.79,5905.558,5.331791687,206.808178,1,5.578651765,264.7144678,1.28,1,1,0
120039,2006,12435,0,0,0,2.951268604,19.130207,1,2.920809397,18.55630079,0.97,1,,1
120040,2006,24620,0,0,0,4.374778254,79.422226,0,4.374778254,79.422226,0.73,1,,1
120043,2006,20832,0,0,0,3.770448381,43.39952,1,4.032812646,56.419376,1.3,1,1,0
120044,2006,156096,2,9623.05,4811.525,5.17830733,177.382307,1,4.863596585,129.4890841,0.73,1,1,0
120046,2006,22638,2,1749.09,874.545,3.368103297,29.023426,0,3.368103297,29.023426,0.91,0,,1
120047,2006,25563,3,12009.72,4003.24,3.671952574,39.328623,0,3.671952574,39.328623,1.3,1,1,0
120048,2006,29344,3,3581.91,1193.97,4.155607772,63.790723,0,4.155607772,63.790723,1.15,1,,1
120049,2006,34156,2,10501.12,5250.56,4.184852959,65.683842,0,4.184852959,65.683842,1.27,1,,1
120050,2006,14987,1,6337.15,6337.15,3.169305929,23.790966,1,3.227574837,25.21842396,1.06,1,1,0
120051,2006,30505,0,0,0,5.02732261,152.524099,0,5.02732261,152.524099,0.81,1,1,0
120053,2006,65956,1,4837.23,4837.23,5.210650246,183.213153,1,5.433793797,229.0164413,1.25,1,1,0
120054,2006,20770,0,0,0,3.810030943,45.151836,0,3.810030943,45.151836,1.09,1,1,0
120056,2006,22903,3,4923.36,1641.12,4.600967377,99.580601,0,4.600967377,99.580601,1.12,1,1,0
120057,2006,14498,4,11879.36,2969.84,2.948384501,19.075113,0,2.948384501,19.075113,0.87,0,0,0
120058,2006,27157,8,34036.45,4254.55625,5.341858713,208.900636,0,5.341858713,208.900636,1.18,1,,1
