StateAb,Affiliation,DrivAge,ExposTotal,SumInsAvg
TO,1,36-45,0.5,15680.99
SP,1,>55,18.11,17209.43
SP,0,46-55,0.29,0
SP,1,18-25,0.5,26328.99
SP,0,>55,5.41,78298.15
SP,0,NA,0.3,70509.87
TO,1,46-55,3.5,26823.13
SP,0,26-35,0.73,90281.58
SP,1,46-55,35.08,32144.33
SP,1,46-55,11.18,23927.61
SP,1,36-45,23.84,27332.75
SP,1,18-25,1.58,29253.15
SP,1,46-55,1.61,12393.45
SP,0,NA,0.42,13850.99
SP,NA,NA,0,0
SP,0,46-55,1,278935.5
SP,1,46-55,0.5,15930
SP,1,18-25,0.96,39518.49
SP,1,36-45,1.14,17324.49
SP,1,26-35,3.52,74401.96
SP,1,18-25,2.19,5455.64
SP,1,26-35,0.28,58787.89
SP,0,36-45,0.89,44771.74
SP,0,NA,0.34,0
SP,1,18-25,1,40171.49
SP,1,36-45,2.52,31513.8
SP,0,NA,8.49,17361.89
SP,1,26-35,1.03,14900.18
SP,1,26-35,6.72,37302.93
SP,1,18-25,1.13,17541.02
SP,1,>55,1.1,82094.84
SP,1,>55,0.37,9730.99
SP,0,26-35,2.04,39426.1
SP,1,>55,1.46,28995.67
SP,1,36-45,0.5,27882.9
SP,1,36-45,0.17,37600
SP,0,>55,0.5,58457.34
SP,1,46-55,0.19,48752.99
SP,NA,NA,0.5,4873.8
SP,1,46-55,0.32,41721
SP,1,>55,2.52,97003.4
SP,1,36-45,17.23,46284.96
SP,1,26-35,1,18167.5
SP,0,NA,5.15,32768.82
SP,1,46-55,1.25,100879.42
TO,1,>55,0.1,39840.99
SP,0,NA,0.5,31735.99
SP,0,NA,14.17,26128.98
SP,1,>55,1.81,36529.52
SP,1,26-35,1.83,68486.38
SP,1,36-45,0.5,397149
SP,1,26-35,45.48,19442.3
SP,1,18-25,0.5,5297.68
SP,1,26-35,0.13,8098
SP,1,46-55,0.5,33033.51
SP,1,>55,0.01,38505.99
SP,1,26-35,4.75,22186.98
SP,0,46-55,0.03,28424.99
SP,1,>55,7.06,43051.86
SP,0,36-45,0.04,64949.99
SP,1,26-35,0.15,113997.99
SP,1,46-55,5.21,23305.53
SP,1,26-35,0.45,0
SP,1,>55,1.01,20535.75
SP,1,26-35,0.5,94957.99
SP,1,36-45,181.84,22830.48
SP,1,36-45,13.38,26582.06
SP,1,36-45,1.61,99057.48
SP,1,26-35,9.2,35153.5
TO,1,26-35,0.99,29185.88
SP,1,26-35,1.66,42999.94
SP,1,46-55,0.38,57560.15
SP,1,26-35,0.15,79466
SP,1,26-35,0.49,23018.65
SP,1,>55,2.69,35642.77
SP,1,46-55,0.5,37738.62
SP,1,36-45,6.01,14657.81
SP,NA,36-45,0.5,89648
SP,1,46-55,26.94,12451.91
SP,1,36-45,0.53,40453.82
SP,1,26-35,4.02,147014.87
SP,0,46-55,3.03,42964.58
SP,1,>55,0.35,66863.82
SP,1,46-55,0.84,47562.72
SP,0,NA,0.38,0
SP,1,>55,0.5,38682.96
SP,1,18-25,5.88,28904.69
SP,0,NA,0.05,12801.99
SP,1,36-45,17.36,23175.52
SP,1,>55,1.74,10712.9
SP,0,26-35,1.9,10087.35
SP,1,46-55,0.09,48324.99
SP,1,26-35,0.2,19965.99
SP,1,36-45,56.21,46254.07
SP,NA,NA,0,0
SP,0,36-45,0.5,21205
SP,0,46-55,0.5,18539.68
SP,1,>55,7.91,18129.39
SP,1,46-55,2.85,16073.42
SP,1,46-55,63.09,29194.4
SP,1,36-45,0.5,26341.52
SP,1,26-35,0.85,16796.85
SP,1,36-45,0.07,12220
SP,1,>55,1.44,14804.77
SP,1,46-55,3.16,28054.23
SP,NA,NA,0.5,120869.99
SP,1,18-25,1,20913.99
SP,1,46-55,0.19,43717.57
TO,1,26-35,0.83,37185.36
SP,1,>55,0.38,22069
SP,NA,18-25,0,0
SP,1,26-35,1.01,36465.55
SP,0,46-55,0.25,24043.86
SP,0,NA,0.23,22941.99
TO,1,36-45,0.19,75258
SP,0,>55,0.49,30264.99
SP,1,>55,0.97,40352.09
SP,1,46-55,21.86,18648.06
SP,1,46-55,0.43,130793.99
SP,1,46-55,1.47,17406.27
SP,1,>55,22.78,30541.79
SP,NA,36-45,0,0
SP,1,36-45,0.5,30732.54
SP,1,26-35,38.88,25113.99
SP,1,36-45,0.5,300204.98
SP,1,>55,12.2,19730.09
TO,1,36-45,1.89,67423.59
SP,1,18-25,6.91,22300.34
SP,1,18-25,0.5,4513.99
SP,0,>55,0.91,57174.4
SP,1,36-45,10.3,48883.1
SP,1,46-55,1,47608
SP,1,26-35,0.5,64225.71
SP,1,46-55,0.5,19587
SP,1,36-45,0.8,15584.17
TO,1,46-55,0.5,64513
SP,1,26-35,0.16,18194
SP,0,NA,0.002739726,62699.99
SP,1,46-55,0.5,23397.6
SP,0,36-45,1.29,71555.92
SP,1,36-45,0.5,7099.42
SP,1,>55,0.37,43800
SP,0,>55,3.93,118017.17
SP,NA,NA,0.5,29899.99
SP,1,26-35,0.7,11489.44
SP,1,36-45,0.5,17809
SP,1,26-35,2.76,12292.14
SP,0,36-45,0.8,109285.7
SP,1,>55,1.68,22121.41
SP,1,>55,0.41,23308
SP,1,46-55,0.04,71250
SP,1,36-45,2.58,17580.32
SP,0,36-45,0.21,65388
SP,0,36-45,0.5,0
SP,1,36-45,0.49,60738.39
SP,1,26-35,0.5,0
SP,1,>55,14.52,11938.47
SP,1,36-45,1.12,40376.01
SP,1,>55,86.08,34229.06
SP,1,18-25,0.56,23122.67
SP,NA,46-55,0.19,47724
SP,1,>55,80.77,21051.78
SP,1,>55,8.33,49815.49
SP,1,36-45,442.45,26065.11
SP,1,46-55,3.29,10982.51
SP,0,NA,28.75,23927.92
SP,1,>55,3.03,36500.87
SP,1,46-55,31.71,11110.74
SP,0,26-35,1.44,55863.87
SP,1,36-45,12.59,17274.12
SP,0,26-35,0.58,29659.4
SP,1,46-55,3.09,15642.89
SP,1,26-35,0.01,33261
SP,0,NA,4.98,55792.2
SP,NA,NA,0,0
SP,1,26-35,1.32,24537.73
SP,0,18-25,0.5,18704.99
SP,1,36-45,5,18094.62
SP,1,36-45,60.66,22714.77
SP,1,46-55,1.51,15392.34
SP,1,18-25,0.52,38435.88
SP,1,>55,9.41,6518.46
SP,1,26-35,1.9,47043.78
SP,1,36-45,0.26,84855
SP,0,NA,0.07,38291
SP,0,NA,0.5,52847.99
SP,1,46-55,25.63,17714.48
SP,0,46-55,0.5,0
SP,NA,>55,1,27091.19
SP,1,>55,0.5,35959.01
SP,0,NA,26.36,19772.51
SP,0,NA,13.9,66508.4
SP,1,18-25,0.06,47970.99
SP,1,26-35,3.09,15481.4
SP,0,18-25,0.51,13359.65
SP,1,36-45,4.04,23647.25
